"series_episode","first_name","last_name","place"
394,"Paul","Maloney",4
395,"Cristian","Petitta",4
396,"Jon","Rosa",4
397,"Jenny","Dorsey",4
398,"Arleen","Harkins",4
399,"Mandla","Nkiwane",4
400,"Steven","Londono",4
401,"Mauro","Maccioni",4
402,"Miguel","Samanez",4
403,"T.J.","Ingraham",4
404,"Jennifer","Lopez",4
405,"Justine","Ezarik",4
406,"LaMarr","Woodley",4
407,"Ron","Funches",4
408,"Alan","Thicke",4
409,"Paige","VanZant",4
410,"Ralph","Ferrara",4
411,"Mauricio","Nunez",4
412,"Jeff","Mauro",4
413,"Erin","Campbell",4
414,"Bea","Rocchetti",4
415,"Mike","Hannah",4
416,"Greg","Power",4
417,"Jimmie","Rondon",4
418,"Jessica","Johnson",4
419,"Tracy","Wilk",4
420,"Leah","Gourlie",4
421,"Lisa","Delgado",4
422,"Tiffany","Schleigh",4
423,"Jason","Rodriguez",4
424,"Michael","Nelson",4
425,"Kristina","Mellegard",4
426,"Omar","Mitchell",4
427,"Suzette","Montalvo",4
428,"Bryan","Lindsay",4
429,"Jayda","Atkinson",4
430,"Melissa","Araujo",4
431,"Michael","Monzon",4
432,"Iliana","Negron",4
433,"Rudy","Straker",4
434,"Cosmo","Bisticas",4
435,"James","Graham",4
436,"Roxanne","Spruance",4
437,"Cybille","Aude",4
438,"Jay","Reifel",4
439,"Diana","Sabater",4
440,"B.J.","Chester-Tamayo",4
441,"Josh","Moore",4
442,"Rochelle","Honeygan",4
443,"Byron","Bradley",4
444,"Adam","Sherris",4
445,"Jonathan","Scinto",4
446,"Abel","Gonzales",4
447,"Maria","Mazon",4
448,"Manny","Slomovitz",4
449,"Jeremy","Fogg",4
450,"Ken","Harvey",4
451,"Josip","Franc",4
452,"Joshua","Wiggins",4
453,"C.J.","Hamm",4
454,"Donald","Hawk",4
455,"Marco","Barrila",4
456,"Sunshine","Flagg",4
457,"Jonathan","Scallion",4
458,"Andrei","Enikeev",4
459,"John","Chambers",4
460,"Paco","Cortes",4
461,"Danielle","Leoni",4
462,"Michael","Compean",4
463,"Kelli","Thompson",4
464,"Alexis","Trolf",4
465,"Louie","Estrada",4
466,"Samantha","Roberts",4
467,"Dylan","Boepple",4
468,"Christian","Souvenir",4
469,"Meghan","Levins",4
470,"Brant","Dadaleares",4
471,"Alejandro","Perez",4
472,"Matthew","Katakis",4
473,"Jeff","Kraus",4
474,"Francis","Legge",4
475,"Richard","Meissner",4
476,"Sean","Collins",4
477,"Juyoung","Kang",4
478,"Danielle","Ennesser-Quirino",4
479,"Ken","Arneson",4
480,"Nicole","Palazzolo",4
481,"Samantha","Naomi",4
482,"J.","Amonson",4
483,"John","Dougherty",4
484,"Tavis","Rockwell",4
485,"Elliot","Williams",4
486,"Justin","Woodard",4
487,"Teerawong","Nanthavatsiri",4
488,"Giulio","Adriani",4
489,"Stephan","Brezinsky",4
490,"Massimiliano","Eandi",4
491,"Ilson","Goncalves",4
492,"Chris","Moore",4
493,"Lex","Taylor",4
494,"Justin","Loo",4
495,"Matt","Drummond",4
496,"Joe","Cadina",4
497,"Marissa","Bergen",4
498,"Ryan","Greenberg",4
499,"Edwin","Rodriguez",4
500,"Syrena","Johnson",4
501,"Kenneth","Temple",4
502,"Nicholas","Poulmentis",4
503,"Dave","Hadley",4
504,"Evan","Hennessey",4
505,"Ted","Allen",4
506,"Leah","Eubanks",4
507,"Altina","Lester",4
508,"Quinn","Walmer",4
509,"Ricardo","Arias",4
510,"Seis","Kamimura",4
511,"Jennifer","Bajsel",4
512,"Michelle","Poteaux",4
513,"Nicole","Roarke",4
514,"Zack","Davis-Wooldridge",4
515,"Kat","Britt",4
516,"Cara","Nance",4
517,"Ross","Scofield",4
518,"Josh","Cohen",4
519,"Al","McLean",4
520,"Tony","Camilleri",4
521,"Neil","Syham",4
522,"Fabiano","Baiera",4
523,"Meredith","Lorencz",4
524,"CJ","Barroso",4
525,"Nick","Cassidy",4
526,"Rachel","Prokupek",4
527,"Rory","Lee",4
528,"Alex","Garfinkel",4
529,"Alex","MacDonald",4
530,"Sarah","Ravitz",4
531,"Andrew","Mercado",4
532,"Maylin","Chavez",4
533,"Heather","Fuller",4
534,"Dave","Mallari",4
535,"Emily","Brungo",4
536,"Emily","Trotochaud",4
537,"Alan","Cohen",4
538,"Sandra","Hakim",4
539,"Jewel","Johnson",4
540,"Brigitte","Oger",4
541,"James","DiStefano",4
542,"Tarran","Hatton",4
543,"Rachael","Collins",4
544,"Jae","Lee",4
545,"Joya","Carlton",4
546,"Melvin","Johnson",4
547,"Reid","Evans",4
548,"Adam","Schuller",4
549,"Chris","Santos",4
550,"Mathew","Rice",4
551,"Katy","Smith",4
552,"Andrew","Lello",4
553,"Humberto","Guallpa",4
554,"Deborah","Schneider",4
555,"Camillo","Sabella",4
556,"Cory","Oppold",4
557,"Megan","Day",4
558,"Rashad","Armstead",4
559,"Erin","Smith",4
560,"Eli","Dunn",4
561,"Sequoya","Anderson",4
562,"Jose","Soto",4
563,"Jason","Hanelt",4
564,"Jose","Chavez",4
565,"Lindsay","Smith-Rosales",4
566,"May","Siricharoen",4
567,"Manjit","Manohar",4
568,"Bryant","Kryck",4
1,"Perry","Pollaci",3
2,"Klaus","Kronsteiner",3
3,"Rachelle","Rodwell",3
4,"Kyle","Shadix",3
5,"Andrea","Bergquist",3
6,"Lucas","Manteca",3
7,"Ralph","Jr.",3
8,"Francesco","Peluso",3
9,"Gypsy","Gifford",3
10,"King","Phojanakong",3
11,"Todd","Miller",3
12,"Nigel","Spence",3
13,"Jonathan","Contes",3
14,"Ross","Gill",3
15,"Cheryl","Perry",3
16,"David","Kirschner",3
17,"Christine","Campbell",3
18,"Pasquale","Frola",3
19,"Christopher","Nguyen",3
20,"Maristella","Innocenti",3
21,"Pedro","Diaz",3
22,"Rory","O'Farrell",3
23,"Sandy","Davis",3
24,"Gavin","Mills",3
25,"Einat","Admony",3
26,"Diane","DiMeo",3
27,"Angie","Shaghaghi",3
28,"Barbara","Esmonde",3
29,"Ayesha","Nurdjaja",3
30,"Malik","Fall",3
31,"David","Amorelli",3
32,"Jason","Tilmann",3
33,"Keith","Jodway",3
34,"Katie","Rosenhouse",3
35,"Lizzie","Singh-Brar",3
36,"Lonnie","Dyner",3
37,"Deborah","Gorman",3
38,"Andres","Barrera",3
39,"Hannah","Hopkins",3
40,"Eric","Paraskevas",3
41,"Warren","Schierenbeck",3
42,"Brian","Kevorkian",3
43,"Shanna","Pacifico",3
44,"Berthsy","Ayide",3
45,"Paul","Ripley",3
46,"Kristen","Davis",3
47,"Ricardo","Cardona",3
48,"Mark","McMann",3
49,"Sachem","Allison",3
50,"Adam","Sternberg",3
51,"Michele","Ragussis",3
52,"Deborah","Bicknese",3
53,"Lola","Garand",3
54,"Charlene","Johnson",3
55,"Jasmine","Shimoda",3
56,"Mackenzie","Hilton",3
57,"Jon","Bignelli",3
58,"Luisa","Fernandes",3
59,"Rebecca","Newell",3
60,"Ric","Orlando",3
61,"Janine","Gray",3
62,"Merlin","Tlapa",3
63,"Marja","Samsom",3
64,"Izzy","Sarto",3
65,"Patricio","Sandoval",3
66,"Samantha","Buyskes",3
67,"Lisa","Beels",3
68,"Sean","Telo",3
69,"Monica","Byrne",3
70,"Gillian","Clark",3
71,"Debbie","Lee",3
72,"Claire","Robinson",3
73,"Beau","MacMillan",3
74,"Amanda","Freitag",3
75,"Anne","Burrell",3
76,"Ondre'a","Duverney",3
77,"Joel","Javier",3
78,"Marco","Suarez",3
79,"Monica","Langowski",3
80,"Shawn","Dickensheets",3
81,"Remy","Ayesh",3
82,"Tom","McEachern",3
83,"Mark","Barrett",3
84,"Chris","Scott",3
85,"Jonathan","Doar",3
86,"James","Lee",3
87,"Ronaldo","Linares",3
88,"Andy","Bates",3
89,"Deirdre","Henderson",3
90,"Siggy","Sollitto",3
91,"Jay","Jones",3
92,"Jason","Marcus",3
93,"Debra","Whiting",3
94,"Cris","Spezial",3
95,"Steve","Jackson",3
96,"Renita","Mendonca",3
97,"Heather","Priest",3
98,"Alejandra","Padilla",3
99,"Laura","Henry-Zoubir",3
100,"Eric","Levine",3
101,"Wade","Burch",3
102,"Ryan","Goergen",3
103,"Gina","Rodriguez",3
104,"Wayne","Cafariella",3
105,"Jackie","Baldassari",3
106,"Arthur","III",3
107,"Arlene","Leggio",3
108,"Nicholas","Porcelli",3
109,"Megan","Johnson",3
110,"Jeremy","Spector",3
111,"Johnny","McLaughlin",3
112,"Faye","Hess",3
113,"Clark","Barlowe",3
114,"Michelle","Firlit-Garcia",3
115,"Dewey","Losasso",3
116,"Virginia","Monaco",3
117,"Cat","Cora",3
118,"Aarti","Sequeira",3
119,"Justin","Balmes",3
120,"Marc","Murphy",3
121,"Penny","Davidi",3
122,"Melissa","Cookston",3
123,"Frederik","Pue",3
124,"Rene","Stein",3
125,"Vaughn","Crenshaw",3
126,"Lee","Farrington",3
127,"Shanna","O'Hea",3
128,"Walter","Lewis",3
129,"David","Guas",3
130,"Miguel","Escobedo",3
131,"Fany","Gerson",3
132,"William","III",3
133,"Kyle","Bernstein",3
134,"Tim","Cipriano",3
135,"Kenny","Minor",3
136,"Brian","Howard",3
137,"Robert","Magsalin",3
138,"Richard","Ingraham",3
139,"Justin","Kennedy",3
140,"Mary","Rusch",3
141,"Brigeth","Brookins",3
142,"Danushka","Lysek",3
143,"Beni","Velazquez",3
144,"Maria","Velez",3
145,"Frances","Tariga",3
146,"Mihoko","Obunai",3
147,"Chris","DeBarr",3
148,"Tasheena","Butler",3
149,"Sung","Kim",3
150,"Shannon","Solomon",3
151,"Joel","Allette",3
152,"Nicole","Brisson",3
153,"Linda","Miles",3
154,"Brack","May",3
155,"Jeremy","Langlois",3
156,"Jimmy","Tessier",3
157,"Chris","Sell",3
158,"Saul","Ortiz-Cruz",3
159,"Monica","Langowski",3
160,"Maureen","Sanchez",3
161,"Jason","Robertson",3
162,"Sylvain","Harribey",3
163,"Fatima","Ali",3
164,"Corwin","Kave",3
165,"Helen","Park",3
166,"Vinson","Petrillo",3
167,"Stephan","Bogardus",3
168,"Vito","Facciabene",3
169,"Gabriele","Corcos",3
170,"Elizabeth","Falkner",3
171,"Alex","Guarnaschelli",3
172,"Johnny","Weir",3
173,"Laila","Ali",3
174,"Eleanor","Wolper",3
175,"Rory","Philipson",3
176,"Bruce","Barber",3
177,"Angela","Majko",3
178,"Anette","Kreipke",3
179,"Melissa","Campbell",3
180,"Natalie","Cain",3
181,"Judy","Cage-McLean",3
182,"Chris","Avtges",3
183,"Kurt","Ramborger",3
184,"Charles","Slonaker",3
185,"Sonya","Cote",3
186,"Geter","Atienza",3
187,"Vanessa","Ayala",3
188,"Sevan","Abdessian",3
189,"Lara","Paul",3
190,"Tara","Thomas",3
191,"Salvatore","Lima",3
192,"Molly","Bhuiyan",3
193,"Cathy","McKnight",3
194,"Kenny","Gray",3
195,"Lucas","Marino",3
196,"Paolo","Pasio",3
197,"Lou","Campanaro",3
198,"Isaiah","Frizzell",3
199,"Dustin","Gauvain",3
200,"Dylan","Hallas",3
201,"Chris","Trapani",3
202,"Chuck","Zito",3
203,"Pedro","Rodriguez",3
204,"Krissy","Kerwin",3
205,"David","Catapano",3
206,"Jared","Braithwaite",3
207,"Shannon","Olvera",3
208,"John","Atkinson",3
209,"Lisa","Savage",3
210,"Jeff","Eng",3
211,"Mike","Greenfield",3
212,"Dawn","Wells",3
213,"Jason","Rivas",3
214,"Matthew","Wheelock",3
215,"Gemma","Gray",3
216,"Lauren","Pool",3
217,"Antonia","Donnelly",3
218,"Laurie","Potts",3
219,"Jimmy","Wang",3
220,"Afton","Farnsworth",3
221,"Lucy","Collins",3
222,"Peter","Kontomanolis",3
223,"Hiep","Le",3
224,"Ashton","Keefe",3
225,"Nissa","Pierson",3
226,"Jackie","Khanich",3
227,"Tre","Ghoshal",3
228,"Mannee","Soohoo",3
229,"Charles","Oakley",3
230,"Penn","Jillette",3
231,"Robert","Wuhl",3
232,"Lucas","Grabeel",3
233,"Gillian","Vigman",3
234,"Auria","Abraham",3
235,"Tina","Adams",3
236,"Ariane","Resnick",3
237,"Patrick","Lacey",3
238,"Herb","Hand",3
239,"Brandon","Frohne",3
240,"Connie","Tran",3
241,"Cass","Ashford",3
242,"Jonathan","Mailo",3
243,"Vinny","Tardo",3
244,"Whitney","Werner",3
245,"Todd","Barrie",3
246,"Josh","Distenfeld",3
247,"Tia","McDonald",3
248,"Samia","Behaya",3
249,"Drew","Jackson",3
250,"Liz","Sempervive",3
251,"Ryan","Costanza",3
252,"Ashley","Dudley",3
253,"Eyan","Goldman",3
254,"Hannah","Bukzin",3
255,"Jake","Diamond",3
256,"Jason","Khaytin",3
257,"Han","Hwang",3
258,"Lauren","Kyles",3
259,"Dinah","Surh",3
260,"Paul","Rut",3
261,"Brandi","Chastain",3
262,"Laila","Ali",3
263,"Christopher","Pappas",3
264,"Christopher","Arellanes",3
265,"Stephanie","Mishoe",3
266,"Marc","Murphy",3
267,"Eva","Winans",3
268,"Jeff","Mauro",3
269,"John","Martone",3
270,"Geoff","Rhyne",3
271,"Renee","Graziano",3
272,"Ryan","Whyte",3
273,"Marilyn","Mansfield",3
274,"Frederick","Aquino",3
275,"Andrew","Garrett",3
276,"Tonya","Mitchell",3
277,"Chris","Starkus",3
278,"Susie","McWilliam",3
279,"Tynan","Gibson",3
280,"Han","Hwang",3
281,"Christian","Fischhuber",3
282,"Einav","Gefen",3
283,"Jen","Outlaw",3
284,"Catherine","Cosby",3
285,"Tommy","Werther",3
286,"Sarah","Arkwright",3
287,"Daniel","Doyle",3
288,"Jing","Cong",3
289,"Marc","Murphy",3
290,"Heather","Edwards",3
291,"Madison","Cowan",3
292,"Mary","Milliken",3
293,"Cat","Cora",3
294,"Fabio","Viviani",3
295,"Jet","Tila",3
296,"Oscar","Toro",3
297,"Lita","Ford",3
298,"Eileen","Andrade",3
299,"Alex","Steinwald",3
300,"Momo","Attaoui",3
301,"Lamar","Moore",3
302,"Juan","Borjas",3
303,"Jim","Stacy",3
304,"Theo","Vicioso",3
305,"Nino","Asaro",3
306,"Eliza","McKelvey",3
307,"Olivia","Neumark",3
308,"Aaron","Tekulve",3
309,"Alexina","Chasin",3
310,"Dante","Foggy",3
311,"Tichina","Arnold",3
312,"Lucerno","Obregon",3
313,"Taylor","Erickson",3
314,"Bonnie","Kepplinger",3
315,"Alex","Rodil",3
316,"Bun","Cheam",3
317,"Celinda","Norton",3
318,"Crosby","Tailor",3
319,"Jonny","Silverberg",3
320,"Alex","Magloire",3
321,"Anthony","Hunt",3
322,"Joan","Low",3
323,"John","Profetto",3
324,"Stanley","Myers",3
325,"Dawn","Burrell",3
326,"Charles","Chen",3
327,"Kirsten","Hocker",3
328,"Vanarin","Kuch",3
329,"Nick","Caputi",3
330,"Gray","Rollin",3
331,"Giovanna","Alvarez",3
332,"Danika","Brysha",3
333,"Rocco","Nankervis",3
334,"Shaun","Yazbek",3
335,"Jase","Grimm",3
336,"Alvin","Zhou",3
337,"Angela","Rowley",3
338,"Daniel","Sharp",3
339,"Thiago","Silva",3
340,"Mo","Major",3
341,"Adam","Sappington",3
342,"Deborah","Caplan",3
343,"Sylva","Senat",3
344,"Daniel","Fleming",3
345,"Tayo","Elena",3
346,"Allison","Kave",3
347,"Mike","Bianco",3
348,"Bruce","Marais",3
349,"Sean","Thomas",3
350,"Sara","Marks",3
351,"Shanice","Fleming",3
352,"Elisha","Weitz",3
353,"Seth","Carter",3
354,"Pasquale","Abbatiello",3
355,"Natacha","Supplice",3
356,"Myla","Njai",3
357,"Tommy","McMonagle",3
358,"Mukanjo","Mukuka",3
359,"Pamela","Wendy",3
360,"Jonas","Park",3
361,"Brittany","Eaden",3
362,"Lyanna","Cintron",3
363,"Genique","Freeman",3
364,"Soraya","Carrington",3
365,"Alfred","DiMartini",3
366,"James","Roberts",3
367,"Annabelle","Turner",3
368,"Katie","Quinn",3
369,"Pam","Johnson",3
370,"Jenni","Pulos",3
371,"Lionel","Haeberle",3
372,"Marc","Quinones",3
373,"Catherine","Highland",3
374,"Bradley","Stellings",3
375,"Mario","Roca",3
376,"Heather","Borden",3
377,"ML","Carroll",3
378,"Aarthi","Sampath",3
379,"Kathy","Poland",3
380,"Demetrio","Zavala",3
381,"Brian","Casey",3
382,"Sarah","Murray",3
383,"Connie","Ruel",3
384,"Serge","Pambo",3
