course_ID,ingredient_name
133,cuttlefish
133,long beans
133,sweet piquante peppers
133,bittersweet chocolate
134,baby bananas
134,coconut flakes
134,pumpernickel rye
134,soy sauce
135,striped sea bass
135,strawberries
135,baby fennel
135,marshmallows
136,country pork ribs
136,kale
136,butternut squash
136,popcorn on the cob
137,polenta
137,lambic beer
137,pineapple
137,hot dogs
138,quahog clams
138,rhubarb
138,almond butter cookies
139,venison tenderloin
139,cinnamon swirl bread
139,sharon fruit
139,cornichons
140,matzo
140,salty peanuts
140,dried strawberries
140,cocoa nibs
141,chicken thighs
141,bitter melon
141,cream cheese
141,papadum
142,turbot
142,wasabi peas
142,purple cauliflower
142,satsuma mikan
143,brie
143,rutabaga
143,frozen cranberries
143,english muffins
144,serrano ham
144,fresh pasta
144,membrillo
144,half-sour pickles
145,beef tenderloin
145,taro root
145,japanese eggplant
145,cherry pie filling
146,white bread
146,unsalted pistachios
146,buckwheat honey
146,zucchini
147,rainier cherries
147,walnuts
147,creme de menthe
147,canned salmon
148,lamb top round
148,golden raisins
148,stilton cheese
148,edamame
149,buttermilk
149,braeburn apples
149,kiwis
149,amaranth grain
150,watermelon
150,sweet potatoes
150,knockwurst
150,almond butter
151,skate
151,english cucumbers
151,prunes
151,shredded wheat crackers
152,oranges
152,red miso paste
152,cottage cheese
152,kettle-cooked potato chips
153,red carrots
153,chinese okra
153,potato knishes
153,ocean perch
154,ground pork
154,sorghum molasses
154,cheese crackers
154,mustard greens
155,puffed rice cereal
155,cognac
155,butterscotch candy
155,pancetta
156,rump roast
156,rainbow chard
156,vegetable yeast spread
157,branzino
157,piquillo peppers
157,jicama
157,chocolate sandwich cookies
158,vodka
158,crescent roll dough
158,sesame seeds
158,blueberry jelly beans
159,rainbow trout
159,napa cabbage
159,smoked paprika
159,white chocolate chips
160,quail
160,escarole
160,chocolate-covered raisins
160,coconut
161,papaya
161,rice crackers
161,sake
161,jura erguel
162,banana chips
162,rice paper
162,kabocha squash
162,sardines
163,beef shoulder
163,baby artichokes
163,blood oranges
163,cashew butter
164,celery root
164,cinnamon candies
164,blackberries
164,marshmallow spread
165,tomatillos
165,horned melon
165,wonton skins
165,rocky mountain oysters
166,dorade
166,baby beets
166,beef jerky
166,coffee liqueur
167,yukon gold potatoes
167,condensed milk
167,pomegranates
167,peanut butter taffy
168,dandelion greens
168,greek yogurt
168,liverwurst
168,catfish
169,ginger beer
169,pickled daikon
169,okra
169,alligator tenderloin
170,key lime juice
170,pepitas
170,halloumi cheese
170,hot dog buns
171,dried persimmon
171,phyllo dough
171,pepper jack cheese
171,sweetbreads
172,chicken breast
172,blue corn tortillas
172,tuscan kale
172,sea urchin
173,blueberries
173,bread & butter pickles
173,saffron
173,fruit ring cereal
174,cold-smoked kippers
174,water chestnuts
174,leeks
174,lemon-lime soda
175,caperberries
175,parsley root
175,chocolate-hazelnut spread
175,elk tenderloin
176,taco shells
176,bosc pears
176,crema
176,red curry paste
177,geoduck
177,buddha's hand
177,black radishes
177,waffle cones
178,smelt
178,dried red currants
178,cheese curls
178,rack of wild boar
179,champagne
179,dragon fruit
179,tahini
179,cake flour
180,barramundi
180,apricot paste
180,poblano peppers
180,abbey style beer
181,bratwurst
181,scallops
181,plums
181,red quinoa
182,israeli couscous
182,cherimoya
182,guanciale
182,irish whiskey
183,lotus root
183,treviso
183,guava nectar
183,octopus
184,flank steak
184,chicory
184,pepino melon
184,granola bars
185,shiso leaves
185,pita bread
185,feta
185,adzuki beans
186,canned pumpkin
186,malted chocolate balls
186,pie crust
186,lamb heart
187,gummy teeth
187,flour tortillas
187,huitlacoche
187,black chicken
188,kumquats
188,cheddar pennies
188,chipotle chiles
188,grasshoppers
189,baked ham
189,cranberry sauce
189,baby turnips
189,port wine cheese
190,pheasant
190,brussels sprouts
190,candy apples
190,sparkling cider
191,puff pastry
191,enoki mushrooms
191,seedless red grapes
191,plum sauce
192,oysters
192,pomegranate juice
192,red chard
192,gingerbread cookie dough
193,goose
193,irish cream liqueur
193,maraschino cherries
193,blue cheese
194,pasilla chiles
194,peppermint patties
194,sour cream
194,boniatos
195,tamarind soda
195,cocktail nuts
195,haricots verts
195,goat brains
196,cream of coconut
196,baby turnips
196,wakame seaweed
196,fish heads
197,peanut brittle
197,marsala wine
197,wonton wrappers
197,durian
198,new zealand mussels
198,bosc pears
198,marula liqueur
198,frozen waffles
199,root beer schnapps
199,lap cheong
199,squash blossoms
199,ostrich tenderloin
200,puffed rice cereal
200,horned melon
200,cashew butter
200,gummy worms
201,speck
201,toybox squash
201,fontina cheese
201,marrow bones
202,yuzu marmalade
202,chicory
202,dried blueberries
202,dungeness crab
203,pineapple
203,sunflower seeds
203,red curry paste
203,neapolitan ice cream
204,saba
204,garlic chutes
204,canadian bacon
204,trout
205,dehydrated okra
205,parsnips
205,espresso soda
205,deckle of beef
206,coquitos
206,turmeric
206,empanada wrappers
206,corn on the cob
207,catfish
207,tomatillos
207,marshmallows
207,rutabagas
208,country pork ribs
208,dandelion greens
208,jerusalem artichokes
208,fresh garbanzo beans
209,plum tomatoes
209,jalapeno peppers
209,crema
209,malanga coco
210,calf's liver
210,mango
210,bottarga
210,pound cake
211,karela
211,blueberries
211,fregola
211,scottish red leg partridge
212,red carrots
212,goat's butter
212,paneer
212,potato crisps
213,teething biscuits
213,hungarian hot peppers
213,raspberries
213,canned haggis
214,rack of venison
214,dulse
214,gooseberry preserves
214,fruit ring cereal
215,ladyfingers
215,baby fennel
215,almond paste
215,root beer jelly beans
216,fresh pasta
216,dried papaya
216,bluefoot mushrooms
216,chorizo
217,cobia
217,salmon jerky
217,chinese spinach
217,animal crackers
218,granola bars
218,heirloom cherry tomatoes
218,chinese five spice
218,piloncillo
219,papadum
219,baby romanesco
219,smoked lake chub
219,powdered strawberry milk
220,taralli
220,natto
220,radicchio
220,whole duck
221,green plantains
221,chinese bacon
221,peanut butter puff cereal
221,frozen lemonade
222,rabbit kidneys
222,baby beets
222,merguez
222,salt and vinegar potato chips
223,goat leg
223,dried hibiscus flower
223,pattypan squash
223,trail mix
224,sesame candies
224,ruby red grapefruit
224,chayotes
224,chickpeas
225,graffiti eggplant
225,cape gooseberries
225,biscuit dough
225,peking duck
226,cornish hens
226,concord grapes
226,gruyere cheese
226,banana leather
227,italian orange liqueur
227,cheese crackers
227,cherimoya
227,jordan almonds
228,firm tofu
228,scotch whisky
228,dragon fruit
228,pickled herring
229,rump roast
229,violet mustard
229,asparagus
229,sugar coated fennel seeds
230,mission figs
230,robiola cheese
230,shelled pistachios
230,taco shells
231,smoked turkey legs
231,ramen noodles
231,cherry bomb peppers
231,endive
232,celery root
232,rainbow chard
232,flat iron steak
232,chocolate frosting
233,bananas
233,pomegranate juice
233,phyllo dough
233,white miso
234,andouille sausage
234,lychees in syrup
234,jalepeno peppers
234,canned cheese
235,buckwheat groats
235,jews mallow
235,hard cider
235,elk tenderloin
236,strawberry popsicles
236,blue corn tortilla chips
236,condensed milk
236,celery
237,oysters
237,clementine oranges
237,chinese okra
237,french dressing
238,duck breasts
238,green tea
238,adzuki beans
238,brussels sprouts
239,meyer lemons
239,cottage cheese
239,passionfruit
239,soba noodles
240,bay scallops
240,braeburn apples
240,sorrel
240,duck hearts
241,fideos
241,broccoli rabe
241,mezcal
241,eel
242,crumpets
242,cream cheese
242,aloe vera juice
242,orange slice candy
243,coho salmon
243,baby eggplant
243,mustard
244,rack of wild boar
244,artichokes
244,ketchup
244,sauerkraut
245,mayonnaise
245,bananas
245,prickly pear cactus
245,pre-cooked pizza crust
246,corn nuts
246,fruit cocktail
246,black garlic
246,uni
247,watermelon
247,dried shrimp
247,dried porcini mushrooms
247,hawaiian snapper
248,challah
248,almond butter
248,tamarind pods
248,delicata squash
249,flour tortillas
249,english cucumbers
249,fresh fava beans
249,pickled beef tongue
250,pork rinds
250,galangal
250,purple kohlrabi
250,rabbit legs and thighs
251,labne
251,chickpea flour
251,asian pears
251,rose water syrup
252,gorgonzola cheese
252,green papaya
252,sour lemon candies
252,duck livers
253,tequila
253,epazote
253,puff pastry
253,cuttlefish
254,cocoa nibs
254,blackberries
254,corn tortillas
254,ginger
255,korean-style short ribs
255,lemon thyme
255,zucchini
255,gefilte fish
256,hen of the woods mushrooms
256,white anchovies
256,lamb top round
256,salsa con queso
257,dried apricots
257,gingerbread cookie dough
257,elderflower liqueur
257,halva
258,quahog clams
258,fuyu persimmons
258,italian bitters
258,nopales
259,halibut
259,purple cauliflower
259,salted duck egg yolks
259,pork skin
260,mexican chocolate
260,mostarda
260,soft tofu
260,pretzel rods
261,buffalo hot dogs
261,carrots
261,edamame
261,butterscotch candy
262,pork loin
262,crunchy cheese curls
262,escarole
262,chia seeds
263,grape flavored gelatin
263,lemon verbena
263,brie
263,shortbread cookies
264,brown bread in a can
264,dried figs
264,frozen peas
264,duck white kidneys
265,quail
265,pedro ximenez sherry
265,crosnes
265,cabbage
266,crescent roll dough
266,dried currants
266,key lime juice
266,creamed corn
267,pancake mix
267,guava nectar
267,aleppo peppers
267,asian style beef jerky
268,fresh wasabi root
268,crab apples
268,collard greens
268,lamb hearts
269,duck eggs
269,russet potatoes
269,farmer's cheese
269,honey herb cough drops
270,lime pickle
270,red chard
270,baby octopus
270,tokyo scallions
271,gingersnaps
271,sweet potatoes
271,farina
271,turbot
272,cactus pear
272,soft pretzels
272,farmhouse cheddar
272,wheat beer
273,smoked oysters
273,starfruit
273,jicama
273,whole calamari
274,jumbo shrimp
274,creme de cassis
274,black quinoa
274,pastrami
275,matzo
275,lady gala apples
275,walnuts
275,borscht
276,udon noodles
276,watermelon radish
276,razor clams
276,pickled eggplant
277,sweet vermouth
277,leeks
277,french fingerling potatoes
277,live diver scallops
278,thai basil
278,marinated cippolini onions
278,black oxford apples
278,rolled oats
279,pre-cooked chicken feet
279,poblano peppers
279,black radishes
279,fruit-flavored candy
280,blood sausage
280,frog legs
280,sea beans
280,halloween candy
281,ossa dei morti
281,apple cider
281,ricotta salata
281,black licorice
282,pomegranates
282,polenta log
282,maple syrup
282,seafood sausage
283,turducken
283,sugar pumpkin
283,concord grape wine
283,indian corn
284,pumpkin beer
284,fresh cranberries
284,pecans
284,instant potatoes
285,lobster
285,harissa
285,candy cane beets
285,gingerbread house
286,rack of lamb
286,ruby port
286,brussels sprouts
286,white chocolate chips
287,plums
287,candy canes
287,fruitcake
287,hot cocoa mix
288,chinese celery
288,fresh chickpeas
288,preserved lemons
288,country style pate
289,rack of antelope
289,stinging nettles
289,jicama
289,port wine cheese
290,nopales
290,sweet potatoes
290,pie crust
290,mezcal
291,frosted wheat cereal
291,baby red romaine lettuce
291,black garlic
291,quahog clams
292,tuna belly
292,lemon curd
292,purple cauliflower
292,dried cuttlefish snack
293,cacao beans
293,masa
293,pisco
293,gorgonzola dolce
294,alaskan king crab legs
294,star fruit
294,bonito flakes
294,mexican chorizo
295,tilefish
295,fig cookies
295,caperberries
295,squid ink
296,vanilla cognac
296,guava paste
296,barley flour
296,duck fat
297,lamb fries
297,ras el hanout
297,blood orange syrup
297,hot cross buns
298,wreck fish
298,sabudana poha
298,green tomatoes
298,huitlacoche
299,macaroni and cheese
299,apples
299,raw cashews
299,cane syrup
300,catfish
300,daikon radish
300,cherry soda
300,boiled peanuts
301,kettle corn
301,chayotes
301,apple sauce
301,roasted suckling pig
302,araucana eggs
302,bread flour
302,turbinado sugar
302,goat's milk
303,izote flowers
303,smoked butter
303,rhubarb
303,chicken in a can
304,yellow miso
304,pork shoulder
304,mountain yam
304,astronaut ice cream
305,margarita mix
305,quick cook grits
305,marionberry preserves
305,vanilla yogurt
306,british piccalilli
306,biscuit dough
306,watercress
306,soft-shell crabs
307,rack of wild boar
307,shishito peppers
307,posole
307,organic roses
308,falooda glass noodles
308,oranges
308,graham crackers
308,armenian string cheese
309,broccoflower
309,unsweetened cranberry juice
309,madeleines
309,sea urchin
310,canned mandarin oranges
310,red pearl onions
310,chicken thighs
310,pork hock
311,gingerbread cookie dough
311,goat cheese
311,garam masala
311,strawberry syrup
312,duck prosciutto
312,purple asparagus
312,korean melon
312,greek easter bread
313,barramundi
313,ramps
313,sun-dried tomatoes
313,unripened green almonds
314,kirby cucumbers
314,beignet mix
314,lemon-lime soda
314,nata de coco
315,breakfast sausage
315,cantaloupe
315,potato rolls
315,coconut flakes
316,fiddlehead ferns
316,sablefish
316,vadouvan
316,blood orange sorbet
317,sour beer
317,cherimoya
317,raspberries
317,brown bread in a can
318,canned tuna fish
318,wonton wrappers
318,spinach
318,dill pickles
319,collard greens
319,chicken breasts
319,anchovies
319,quinoa
320,sunflower seeds
320,grapes
320,cream cheese
320,canned pineapple
321,wax beans
321,mandarinquats
321,sardines
321,rice cakes
322,mangosteens
322,mustard greens
322,dried shrimp
322,yak strip steaks
323,black pepper crackers
323,plums
323,kefir
323,chamomile flowers
324,duck confit
324,red cherry peppers
324,frozen naan
324,vanilla beans
325,duck breast
325,champagne mango
325,morel mushrooms
325,ranch dressing
326,chocolate chips
326,chestnuts
326,dried strawberries
326,duck eggs
327,boudin blanc
327,chanterelle mushrooms
327,baby artichokes
327,orange marmalade
328,rainbow chard
328,tonic water
328,malanga coco
328,rabbit
329,fino sherry
329,granola
329,dried persimmon
329,vanilla ice cream
330,wasabi root
330,blueberries
330,cocktail blinis
330,guanciale
331,bloody mary mix
331,green seedless grapes
331,cashews
331,chicken steak
332,cinnamon toast cereal
332,asian pears
332,chocolate covered raisins
332,camembert
333,canadian bacon
333,roasted piquillo peppers
333,tomatillos
333,instant noodle soup
334,cactus pears
334,squab
334,frozen lima beans
334,far far
335,corn flakes cereal
335,sweet chili sauce
335,golden raspberries
335,labne
336,cube steak
336,salsa
336,queso fresco
336,frozen french fries
337,blue foot chicken
337,broccolini
337,tequila
337,dried limes
338,white balsamic vinegar
338,chocolate covered peanuts
338,dried cranberries
338,masa harina
339,sweetbreads
339,dried dates
339,red malabar spinach
339,strawberry popsicles
340,leg of lamb
340,kochujang
340,rainbow carrots
340,root beer schnapps
341,fresh pasta sheets
341,plum tomatoes
341,basil
341,white chocolate
342,mahi-mahi
342,candy cane beets
342,verjus
342,olive loaf
343,red mullet
343,peach palm fruit
343,haricots verts
343,licorice candy
344,clove candies
344,loquats
344,kaiser rolls
344,cheese wedges
345,artichoke hearts
345,truffle honey
345,corn nuts
345,scrapple
346,fenugreek
346,new potatoes
346,bison short ribs
346,cheese spread in a jar
347,dried black licorice root
347,pork rinds
347,macadamia nuts
347,limoncello
348,crawfish
348,lemon cucumber
348,purple wax beans
348,pre-cooked beef tendon
349,octopus
349,dandelion greens
349,aged gouda
349,sour trahana
350,plums
350,coconut rum
350,black beans
350,queso fresco
351,pancake mix
351,strawberry papaya
351,blue foot mushrooms
351,pre-cooked chicken feet
352,maraschino cherries
352,peas in the pod
352,parsley root
352,tripe
353,ostrich eggs
353,plantains
353,dried strawberries
353,galangal
354,razor clams
354,breakfast radishes
354,green grape tomatoes
354,shrimp paste
355,culotte steak
355,okinawa sweet potatoes
355,turnips
355,strawberry leather
356,mango chutney
356,white apricots
356,blue cornmeal
356,bacon bits
357,potato pancakes
357,purple kohlrabi
357,korean melon
357,goat brains
358,rack of berkshire pork
358,kusa
358,grape molasses
358,preserved duck eggs
359,cake flour
359,farmer's cheese
359,baby beets
359,cola
360,galia melon
360,chinese okra
360,pistachios
360,beef heart
361,rainbow chard
361,bonito
361,hard cider
361,couscous
362,panforte
362,pancetta
362,pink currants
362,creme fraiche
363,sweet tea vodka
363,asian steamed buns
363,baby romanesco
363,extra-firm tofu
364,wagyu rib-eye steaks
364,baby corn
364,watermelon
364,coleslaw dressing
365,stout beer
365,empanada wrappers
365,peaches
365,marshmallow spread
366,huckleberries
366,black beans
366,green plantains
366,octopus
367,champagne
367,skirt steak
367,yuca
367,coconut
368,chicha morada
368,cotija cheese
368,mangoes
368,shoestring potato sticks
369,sea scallops
369,guaje beans
369,aged cheddar
369,pickle juice
370,black bass
370,raspberry lavender risotto
370,savoy cabbage
370,caul fat
371,cosmopolitan mix
371,dried apples
371,biscotti
371,edible flowers
372,quail eggs
372,white asparagus
372,hibiscus flowers in syrup
372,canned spiced ham
373,lake perch
373,tomatoes on the vine
373,avocados
373,rolled oats
374,sour cherries
374,croissants
374,clotted cream
374,lemongrass
375,leftover pizza
375,leftover beer
375,graffiti eggplant
375,dried plums
376,leftover pot roast
376,leftover steamed rice
376,escarole
376,1/2 bottle of white wine
377,leftover vanilla milkshake
377,leftover refried beans
377,butter crackers
377,kiwi
378,amber ale
378,salmon fillets
378,frisee
378,kantola
379,lutefisk
379,hazelnuts
379,pinot noir
379,dried lobster mushrooms
380,baby eggplants
380,gooseberries
380,eggroll skins
380,lapchang
381,smoked mozzarella
381,fresh pasta sheets
381,rainier cherries
381,hot dogs
382,fire roasted tomatoes
382,bison sirloin steaks
382,spinach
382,italian hot peppers
383,cinnamon-flavored candy coal
383,crescent roll dough
383,sour cream
383,hot chocolate mix
384,asian long beans
384,red jalapeno peppers
384,calvados
384,escargots
385,ground lamb
385,stilton cheese
385,chinese eggplant
385,birch syrup
386,coconut water
386,garnet yams
386,thai basil
386,roasted noodles
387,injera
387,hearts of palm
387,mache
387,rabbit escabeche
388,goat chops
388,dragon's tongue beans
388,cinnamon schnapps
388,dark chocolate
389,hollandaise sauce
389,strawberries
389,walnuts
389,blue corn tortilla chips
390,sturgeon filets
390,cucumber
390,yuzu juice
390,black mission figs
391,mutton chops
391,baby leeks
391,banana potatoes
391,orange gelatin
392,pasilla chiles
392,pineapple
392,israeli couscous
392,mexican chocolate
393,chicken livers
393,california raisins
393,heirloom tomatoes
393,green goddess dressing
394,branzino
394,baby bok choy
394,celery soda
394,fortune cookies
395,sourdough bread
395,dried figs
395,baby fennel
395,coffee beans
396,lacinato kale
396,finger lime
396,gummy tarantulas
396,pre-cooked pig snout
397,calf's liver
397,sea beans
397,strawberry popping candy
397,dried ghost chiles
398,puffed rice cereal bars
398,spiced rum
398,rambutan
398,tequila lollipops
399,cranberry sauce
399,cheese and green chile tamales
399,green beans
399,smoked turkey gizzards
400,pumpkin pie
400,french-fried onions
400,dried oysters
400,turkey
401,lavash
401,kumquats
401,mulling spices
401,chocolate turkeys
402,baby mustard greens
402,spiral ham
402,pizzelle cookies
402,kugel
403,roasted chestnuts
403,stone crabs
403,beef tenderloin
403,santa claus melon
404,eggnog
404,panettone
404,pomegranate molasses
404,hanukkah gelt
405,corned beef
405,gummy fried eggs
405,black olives
405,baby corn
406,striped bass
406,sour lemon candy
406,jerusalem artichokes
406,cream of mushroom soup
407,spearmint leaf candy
407,knodel
407,almond flour
407,raisins on the vine
408,chicken intestines
408,red miso
408,savoy cabbage
408,clementine oranges
409,duck breast
409,red malabar spinach
409,cherry cola
409,olive loaf
410,kombucha
410,rambutan
410,egg white powder
410,candied nuts
411,button mushrooms
411,dried dates
411,duck hearts
411,chocolate covered cherries
412,chateaubriand
412,rainbow carrots
412,escarole
412,chocolate wine
413,marzipan
413,membrillo
413,ladyfingers
413,chocolate lips
414,razor clams
414,andouille sausage
414,lime pickle
414,cajun chips
415,catfish
415,chard
415,fig preserves
415,chai tea powder
416,gin liqueur
416,huckleberries
416,beignet mix
416,chicory coffee
417,fried chicken
417,american cheese
417,spinach
417,apple pie
418,maine lobster
418,hot dogs
418,frozen lemonade
418,potato chips
419,peaches
419,breakfast toaster pastries
419,bourbon whiskey
419,corn on the cob
420,pink grapefruit
420,seafood sausage
420,wasabi peas
420,cream of coconut
421,clove liqueur
421,bistec norteno
421,butternut squash
421,orzo
422,red jalapenos
422,shortbread cookies
422,sharon fruit
422,cream cheese frosting
423,tuna belly
423,dandelion greens
423,canned chickpeas
